,JobRuntime,Command,Factor,type,time1,time2,time3,time4,time5,mean,sd,median
65,22.745,gramschmidt,0.30,org,22.745,22.743000000000002,23.084,22.819000000000003,22.955,22.9374,0.1535652955585984,22.955
66,22.795,gramschmidt,0.35,org,22.795,22.772,23.142,22.991,22.967,23.007399999999997,0.14426468729387582,22.991
67,22.969,gramschmidt,0.40,org,22.969,22.706999999999997,22.916,23.038,22.910999999999998,22.95,0.05463057751845621,22.916
68,22.929000000000002,gramschmidt,0.45,org,22.929000000000002,23.074,22.699,22.769000000000002,22.69,22.7572,0.10117410735954159,22.699
69,22.945999999999998,gramschmidt,0.50,org,22.945999999999998,23.029,23.199,22.878,23.061999999999998,23.0568,0.14552903490369312,23.061999999999998
70,22.973000000000003,gramschmidt,0.55,org,22.973000000000003,22.743000000000002,23.134,22.845,23.059,23.029,0.12241527682442288,23.059
71,23.021,gramschmidt,0.60,org,23.021,23.124000000000002,23.131,22.721,22.96,22.9928,0.16877855313990583,23.021
72,23.141,gramschmidt,0.65,org,23.141,22.987,22.653000000000002,23.092,22.986,22.905,0.23676676287012738,22.986
73,22.76,gramschmidt,0.70,org,22.76,23.031999999999996,23.039,23.115,23.008000000000003,22.992200000000004,0.1356712939423805,23.039
74,22.861,gramschmidt,0.75,org,22.861,23.041,23.15,22.689,23.095,22.988999999999997,0.20582881236600395,23.095
75,23.005,gramschmidt,0.80,org,23.005,23.099,23.018,23.016,23.096,23.0306,0.03695673145720573,23.018
76,22.963,gramschmidt,0.85,org,22.963,22.741999999999997,22.74,22.726999999999997,22.983,22.830599999999997,0.13029313105455873,22.74
77,22.965999999999998,gramschmidt,0.90,org,22.965999999999998,23.098000000000003,23.109,23.015,22.755,22.9908,0.1455548006765849,23.015
78,22.978,gramschmidt,0.95,org,22.978,22.75,22.730999999999998,23.069000000000003,23.017,22.9052,0.162265831276953,22.978
79,22.654,gramschmidt,1.00,org,22.654,22.651,22.976,22.805,22.826,22.8474,0.13484732107090555,22.826
80,11.341,covariance,0.05,plp,11.341,11.335,11.276,11.382,11.356,11.3262,0.04811652522782577,11.341
81,11.319,covariance,0.10,plp,11.319,11.315,11.312000000000001,11.328,11.331,11.320400000000001,0.008848728722250716,11.319
82,11.319,covariance,0.15,plp,11.319,11.296,11.312999999999999,11.384,11.338,11.3334,0.030088203668547985,11.319
83,11.312000000000001,covariance,0.20,plp,11.312000000000001,11.344000000000001,11.369000000000002,11.305,11.370999999999999,11.3452,0.033603571238783624,11.369000000000002
84,11.355,covariance,0.25,plp,11.355,11.363,11.332,11.349,11.35,11.343600000000002,0.010830512453249536,11.349
85,11.35,covariance,0.30,plp,11.35,11.338,11.424000000000001,11.370999999999999,11.332,11.3802,0.04229893615683554,11.370999999999999
86,11.28,covariance,0.35,plp,11.28,11.309000000000001,11.355,11.344000000000001,11.299000000000001,11.3266,0.034818098741890256,11.344000000000001
87,11.357000000000001,covariance,0.40,plp,11.357000000000001,11.311,11.364,11.338,11.309000000000001,11.346400000000003,0.02345847394866092,11.357000000000001
88,11.304,covariance,0.45,plp,11.304,11.317,11.356,11.32,11.398,11.346799999999998,0.03654038861314944,11.356
89,11.341,covariance,0.50,plp,11.341,11.368,11.331,11.345,11.323,11.3342,0.008786353054595542,11.331
90,11.368,covariance,0.55,plp,11.368,11.388,11.347999999999999,11.357999999999999,11.414000000000001,11.3672,0.02744448942866418,11.357999999999999
91,11.365,covariance,0.60,plp,11.365,11.362,11.364,11.408,11.329,11.366000000000001,0.028026772914482603,11.364
